institute,inst,exper,uexper,bsth,os,os.rr
AT,204,Juni 2000,204 Juni 2000,0.46185,0.280445,39.2779040814117
AT,204,Juni_99,204 Juni_99,,0.107766333333333,
AU,205,18R,205 18R,0.0711543333333333,0.0453606666666667,36.2503103582354
AU,205,18S,205 18S,0.0956155,0.0622773333333333,34.8669061675844
AU,205,B,205 B,0.209543875,0.175357375,16.3147216782165
AU,205,D,205 D,0.179883,0.089208125,50.4076955576681
AU,205,SyreN,205 SyreN,0.204953575,0.1415425,30.9392383128716
AU,205,Unter (a),205 Unter (a),0.11987825,0.11164,6.87218073336906
AU,205,Unter (b),205 Unter (b),0.09964825,0.080731,18.9840263125544
CRPA,103,2,103 2,0.0300973333333333,0.10126,-236.441766712444
CRPA,103,3,103 3,0.06283,0.16543,-163.297787681044
CRPA,103,4,103 4,0.304186666666667,0.13079,57.00337512054
IGER,105,13,105 13,0.14817,0.071577,51.6926503340757
IGER,105,15,105 15,0.37702,0.35741,5.20131558007533
INH-HAFL,207,A4,207 A4,0.14201,0.065799,53.665939018379
IUL/FAT,107,F19,107 F19,0.32255,0.1529,52.5964966671834
IUL/FAT,107,F8,107 F8,0.37005,0.24308,34.3115795162816
JTI,108,1,108 1,0.114114166666667,0.061852,45.7981407508563
JTI,108,2,108 2,0.09282695,0.0488096666666667,47.4186465604367
JTI,108,3,108 3,0.513725,0.689705,-34.2556815416809
JTI,108,4,108 4,0.51462,0.721363333333333,-40.1739795059138
JTI,108,5,108 5,0.24338,0.3184525,-30.8457966965239
JTI,108,6,108 6,0.7215975,0.46007,36.2428500653065
JTI,108,7,108 7,0.62666,0.18771,70.0459579357227
JTI,108,8,108 8,1.254,0.54982,56.1547049441786
JTI,108,9,108 9,0.744806666666667,0.862286666666667,-15.7732207910778
